Total Count, Unique Count, Unique/Total Ratio, Text
10, 6, 0.6, When did you guys get engaged?!""
1, 0, 0, 
9, 5, 0.5555555555555556, When will the wedding be?!""
1, 0, 0, 
11, 11, 1, A red Range Rover pulled up and Daxton opened the door
1, 0, 0, 
8, 5, 0.625, You're failing miserably."" Daxton said
1, 0, 0, 
18, 14, 0.7777777777777778, Well you try being pregnant and bending over at the same time."" I grumbled.
1, 0, 0, 
1, 1, 1, Here
1, 0, 0, 
1, 1, 1, Ugh
1, 0, 0, 
10, 6, 0.6, You're not going home."" I frowned.
1, 0, 0, 
10, 7, 0.7, Where are we going then?"" I asked
1, 0, 0, 
12, 7, 0.5833333333333334, To see my parents."" My eyes shot open.
1, 0, 0, 
4, 2, 0.5, What?! Dax
1, 0, 0, 
15, 11, 0.7333333333333333, We have to announce our engagement to them and that you're....pregnant
1, 0, 0, 
1, 1, 1, Wait
1, 0, 0, 
8, 8, 1, If we want to keep our good names
1, 0, 0, 
8, 8, 1, But if we have to keep this up
1, 0, 0, 
1, 1, 1, Yes
1, 0, 0, 
4, 0, 0, ***
1, 0, 0, 
46, 34, 0.7391304347826086, I ignored him for the rest of the ride to his parents house. How dare he say we have to get married without my consent. I was furious with him that I didn't even look at him. I ignored everything he asked me
1, 0, 0, 
7, 7, 1, When we pulled up to the driveway
1, 0, 0, 
1, 1, 1, Look
1, 0, 0, 
10, 7, 0.7, Whatever."" I went to open my door
1, 0, 0, 
10, 7, 0.7, Don't even think about it."" He said
1, 0, 0, 
7, 4, 0.5714285714285714, You ready?"" He asked
1, 0, 0, 
31, 25, 0.8064516129032258, Are you crazy? I'll never be ready to mingle with your parents."" He cracked a smile at my statement before going back to his stoic stance.
1, 0, 0, 
36, 29, 0.8055555555555556, Come on."" He grabbed my hand and tingles went up my spine. I have got to get back control of my body because these reactions are not okay. It's the hormones
1, 0, 0, 
27, 21, 0.7777777777777778, We walked to the front door of the large house and rang the doorbell. Nervousness shot through me and the worse thoughts crossed my mind.
1, 0, 0, 
1, 1, 1, Wait
12, 3, 0.25, 64693;"Pop the Moscato. 
1, 1, 1, Zip
5, 3, 0.6, Panties and slippers."
29, 13, 0.4482758620689655, 64694;"*prsmkdwn-i*He's older now */prsmkdwn-i* and when he looks at me he wants answers. 
35, 22, 0.6285714285714286,  I look up at him now. He's taller. He's handsome and I hate you more when I look at him. But he has your eyes and they break me. 
31, 20, 0.6451612903225806,  I let him hug me and I hold him. Tighter now. Because he isn't mine anymore. He looks at me because I hold the answers to you
6, 6, 1, There is blame in his eyes
10, 9, 0.9, And I regret that I did not die with you
9, 7, 0.7777777777777778, When his eyes look down on mine. 
6, 5, 0.8333333333333334,  So much confusion and hate
3, 3, 1, But I trust
34, 20, 0.5882352941176471,  And I go through the motions. *prsmkdwn-i*She was sick. She loved you*/prsmkdwn-i* and I pray all the while for a moment of truth.
23, 20, 0.8695652173913043,  Where i can look my lil man in the eyes and tell him just what a selfish cunt you were."
10, 3, 0.3, 64695;"something dreamy shines
2, 2, 1, the ripples
4, 3, 0.75, quickly moving sky"
23, 8, 0.34782608695652173, 64696;"*prsmkdwn-i**prsmkdwn-b***PLEASE READ!** In this chapter
1, 0, 0, 
16, 5, 0.3125, *prsmkdwn-i**prsmkdwn-b*Thanks xx*/prsmkdwn-b**/prsmkdwn-i*
1, 0, 0, 
98, 0, 0, -------------------------------------------------------------------------------------------------
1, 0, 0, 
24, 19, 0.7916666666666666, Mr. and Mrs. King stood in the doorway and immediately smiled when they saw Daxton. Daxton looked exactly like his father
1, 0, 0, 
11, 7, 0.6363636363636364, Daxton! What a surprise!"" His mother exclaimed
1, 0, 0, 
1, 1, 1, Oh
1, 0, 0, 
8, 5, 0.625, It is indeed."" I responded
1, 0, 0, 
26, 22, 0.8461538461538461, Are you guys going to invite us in? Ari can't stand on her feet too long."" I thanked Daxton with my eyes
1, 0, 0, 
1, 1, 1, Oh
1, 0, 0, 
5, 5, 1, I looked around the foyer
1, 0, 0, 
9, 8, 0.8888888888888888, While Mrs. King went to get the food
1, 0, 0, 
1, 1, 1, So
1, 0, 0, 
11, 9, 0.8181818181818182, He sure is. He seemed to be working even harder
1, 0, 0, 
1, 1, 1, Ahh
1, 0, 0, 
31, 21, 0.6774193548387096, Of course."" I answered and he smiled at me. I smiled back and looked up when Daxton's mom came back in with a tray of drinks.
1, 0, 0, 
44, 34, 0.7727272727272727, Here you are."" She set down the drinks in front of us and they all proceeded to drink. But I looked at my drink and immediately knew it was alcohol. Mrs. King looked at me over her glass
1, 0, 0, 
23, 13, 0.5652173913043478, I frowned at her. Was she serious? ""I'm pregnant. I can't drink."" I ground out
1, 0, 0, 
1, 1, 1, Mom
1, 0, 0, 
2, 2, 1, Oh my
1, 0, 0, 
4, 4, 1, Water will be great
1, 0, 0, 
1, 1, 1, Arielle
1, 0, 0, 
20, 16, 0.8, We're here to tell you guys about my pregnancy."" I stated. She coughed in her napkin
1, 0, 0, 
5, 5, 1, Why would you do that
1, 0, 0, 
1, 1, 1, Oh
1, 0, 0, 
23, 16, 0.6956521739130435, Preposterous! Daxton would never knock up some..some low-life."" My mouth hung open at her insult.
1, 0, 0, 
12, 8, 0.6666666666666666, Mother!"" Daxton yelled and she turned to him.
1, 0, 0, 
5, 5, 1, Tell me it's not true
1, 0, 0, 
12, 7, 0.5833333333333334, It's a boy."" Was all he said. 
1, 0, 0, 
14, 10, 0.7142857142857143, Did I forget to mention that we're engaged?"" I butt in
1, 0, 0, 
1, 1, 1, Ari
1, 0, 0, 
23, 17, 0.7391304347826086, Don't what? Tell her the truth? She was going to find out sooner or later."" I argued.
1, 0, 0, 
9, 8, 0.8888888888888888, How dare you trick my son into marrying you
1, 0, 0, 
16, 12, 0.75, Denise!"" Mr. King grabbed his wife and pulled her away from me
1, 0, 0, 
4, 4, 1, I'm disappointed in you
1, 0, 0, 
1, 1, 1, Ari
1, 0, 0, 
28, 21, 0.75, Let you handle it? She would've taken it just as hard if you had told her."" Daxton shook his head and stood up.
1, 0, 0, 
1, 1, 1, No
1, 0, 0, 
34, 24, 0.7058823529411765, Are you telling me this is my fault? You think I wanted your crazy ass mother attacking me like some animal?!"" I yelled. Daxton just stared at me
1, 0, 0, 
4, 4, 1, You are something else
1, 0, 0, 
11, 10, 0.9090909090909091, All I'm saying is that you had it coming for you
1, 0, 0, 
7, 3, 0.42857142857142855, What!?"" I shrieked
1, 0, 0, 
14, 10, 0.7142857142857143, You wouldn't."" He said darkly. I stepped up to him
1, 0, 0, 
35, 26, 0.7428571428571429, Try me."" Footsteps sounded behind Dax and I looked behind his shoulder to see Mr. King coming back. He seemed stressed as he ran his fingers through his hair repeatedly
1, 0, 0, 
3, 3, 1, I'm so sorry
1, 0, 0, 
1, 1, 1, No
1, 0, 0, 
3, 2, 0.6666666666666666, Okay. Well
1, 0, 0, 
30, 18, 0.6, Thank you."" I smiled at him before looking at Dax. We'll see about that. ""I'm ready to leave."" With that
1, 0, 0, 
18, 17, 0.9444444444444444, I slipped into the vehicle and didn't look at Daxton when he slid in next to me.
1, 0, 0, 
2, 2, 1, My penthouse
1, 0, 0, 
1, 1, 1, Um
1, 0, 0, 
12, 9, 0.75, Ari-"" I held up my hand to shush him
1, 0, 0, 
5, 5, 1, When we reached my house
1, 0, 0, 
18, 14, 0.7777777777777778, We need to talk later."" He said. I ignored him and unlocked the door
1, 0, 0, 
1, 1, 1, Frowning
1, 0, 0, 
20, 17, 0.85, A scream slipped through my lips and I shut my eyes immediately. Rayna and Marco scrambled to cover themselves
31, 18, 0.5806451612903226, 64697;"""Ari! You weren't supposed to be here yet."" Rayna picked up Marco's shirt and threw it over her
1, 0, 0, 
3, 3, 1, What the fuck
1, 0, 0, 
2, 2, 1, I'm sorry
1, 0, 0, 
56, 34, 0.6071428571428571, It just happened? Is that what you're gonna say to Sam when you tell him that you cheated on him with Marc?"" She flinched at my words and I turned my head to Marco. ""What about you? What do you have to say for yourself?""
1, 0, 0, 
18, 16, 0.8888888888888888, He shifted uncomfortably as he explained that him and Rayna have had feelings for each other for years
1, 0, 0, 
